,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Manchester City,1,73,32,22,7,3,76,32,44,2,41,17,12,5,0,43,14,29,2,32,15,10,2,3,33,18,15
Arsenal,2,71,32,22,5,5,75,26,49,3,38,16,12,2,2,38,15,23,1,33,16,10,3,3,37,11,26
Liverpool,3,71,32,21,8,3,72,31,41,1,42,17,13,3,1,43,15,28,3,29,15,8,5,2,29,16,13
Aston Villa,4,63,33,19,6,8,68,49,19,6,35,16,11,2,3,40,22,18,4,28,17,8,4,5,28,27,1
Tottenham Hotspur,5,60,32,18,6,8,65,49,16,5,36,16,12,0,4,34,21,13,5,24,16,6,6,4,31,28,3
Newcastle United,6,50,32,15,5,12,69,52,17,4,36,17,11,3,3,43,20,23,14,14,15,4,2,9,26,32,-6
Manchester United,7,50,32,15,5,12,47,48,-1,10,26,15,8,2,5,23,22,1,6,24,17,7,3,7,24,26,-2
West Ham United,8,48,33,13,9,11,52,58,-6,11,25,17,6,7,4,26,25,1,7,23,16,7,2,7,26,33,-7
Chelsea,9,47,31,13,8,10,61,52,9,8,28,16,8,4,4,35,25,10,8,19,15,5,4,6,26,27,-1
Brighton & Hove Albion,10,44,32,11,11,10,52,50,2,9,27,15,7,6,2,28,19,9,12,17,17,4,5,8,24,31,-7
Wolverhampton,11,43,32,12,7,13,46,51,-5,12,24,15,7,3,5,23,23,0,9,19,17,5,4,8,23,28,-5
Fulham,12,42,33,12,6,15,49,51,-2,7,28,16,9,1,6,29,16,13,15,14,17,3,5,9,20,35,-15
AFC Bournemouth,13,42,32,11,9,12,47,57,-10,13,24,17,6,6,5,23,26,-3,11,18,15,5,3,7,24,31,-7
Crystal Palace,14,33,32,8,9,15,37,54,-17,17,16,15,4,4,7,21,24,-3,13,17,17,4,5,8,16,30,-14
Brentford,15,32,33,8,8,17,47,58,-11,14,21,17,5,6,6,27,30,-3,16,11,16,3,2,11,20,28,-8
Everton,16,27,32,9,8,15,32,48,-16,16,16,15,4,4,7,16,18,-2,10,19,17,5,4,8,16,30,-14
Nottingham Forest,17,26,33,7,9,17,42,58,-16,15,20,17,5,5,7,25,25,0,18,10,16,2,4,10,17,33,-16
Luton Town,18,25,33,6,7,20,46,70,-24,18,15,16,4,3,9,24,27,-3,19,10,17,2,4,11,22,43,-21
Burnley,19,20,33,4,8,21,33,68,-35,19,10,17,2,4,11,17,37,-20,17,10,16,2,4,10,16,31,-15
Sheffield United,20,16,32,3,7,22,30,84,-54,20,10,16,2,4,10,17,47,-30,20,6,16,1,3,12,13,37,-24